"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/15";"Nov/15";"Out/15";"Set/15";"Ago/15";"Jul/15";"Jun/15";"Mai/15";"Abr/15";"Mar/15";"Fev/15";"Jan/15";"Competência";"Data de atualização"
"POLICLÍNICA GRAMACHO LTDA - EPP (408581)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PRONTOMEDICO PLANO DE ASSISTENCIA MEDICA LTDA (362182)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MAPFRE SAÚDE LTDA (418951)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"   3,59";"   3,66";"   3,76";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PULMONAR CLINICA DE PNEUMOLOGIA E CIRURG TORACICA LTDA. (403369)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"CAMBORIÚ SAÚDE LTDA. (360147)";"Médico Hospitalar";"Pequeno";"184";"102";"0,00";"   2,58";"   2,70";"   2,82";"   1,96";"   1,95";"   1,93";"   0,91";"   0,87";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"VALEC - ENGENHARIA, CONSTRUÇÕES E FERROVIAS S/A (419206)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SOMEPI - SOCIEDADE MÉDICA DE PIRAPORA LTDA. (403237)";"Médico Hospitalar";"Pequeno";"184";"";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ASTRA S/A INDUSTRIA E COMERCIO (358410)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO (328073)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"   0,85";"   1,54";"   1,42";"   0,71";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S/S LTDA (416738)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"   0,68";"   1,38";"   1,38";"   0,70";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"HOSPITAL DE PRONTOCLINICA LTDA. (341941)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"IRB BRASIL RESSEGUROS S/A (310786)";"Médico Hospitalar";"Pequeno";"184";"";"0,00";"";"";"";"";"";"  13,84";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PAN DENTAL ODONTOLOGIA DE GRUPO LTDA. (414662)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"BIORAL SISTEMA ODONTOLÓGICO LTDA. (419079)";"Odontológica";"Pequeno";"13";"8";"0,00";"   0,44";"   0,65";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE RIO CLARO COOPERATIVA ODONTOLOGICA (349011)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"LINS & SILVEIRA LTDA. - ME (418889)";"Odontológica";"Pequeno";"13";"";"0,00";"";"";"";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"YES ODONTOLOGIA LTDA (417009)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO RIO GRANDE-LITORAL COOPERATIVA ODONTOLOGICA LTDA (367966)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"WM ADMINISTRAÇÃO DE PLANOS ODONTOLÓGICOS LTDA. (351628)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"COJUN CENTRO ODONTOLOGICO JUNDIAI LTDA. (415812)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIDENTIS ASSISTENCIA ODONTOLOGICA LTDA. (413429)";"Odontológica";"Pequeno";"13";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PERSONAL DOCTOR ASSISTENCIA ODONTOLOGICA LTDA. (415545)";"Odontológica";"Pequeno";"13";"7";"0,00";"   2,10";"   9,40";"  10,67";"   8,21";"0,00";"0,00";"0,00";"   2,88";"   2,87";"   2,67";"0,00";"201501";"22/01/2016 16:40:10"
"PREV-SYSTEM EIRELI EPP (401609)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A. (419419)";"Odontológica";"Pequeno";"13";"15";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"INVEST ORAL PLANO ODONTOLÓGICO LTDA. (416240)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PLENODONTO ASSISTÊNCIA ODONTOLÓGICA S/C LTDA. (403458)";"Odontológica";"Pequeno";"13";"2";"0,00";"   0,92";"   0,93";"   0,96";"   0,50";"   0,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"CUNHA ODONTOLOGIA LTDA (416959)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,87";"   3,01";"   3,15";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTAL CARE CLINICA ODONTOLOGICA LTDA (386219)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTOBASE PLANOS DE SAUDE LTDA. (344486)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"   2,46";"   2,42";"   4,78";"   2,39";"   2,36";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE RIO BRANCO ACRE COOPERATIVA ODONTOLÓGICA LTDA. (403997)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO SUL CAPIXABA COOPERATIVA ODONTOLOGICA (370711)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"   0,80";"   0,81";"   0,83";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"LITORAL CONVÊNIOS E CREDENCIAMENTO ODONTOLÓGICO LTDA ME (418358)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIDENTAL COOPERATIVA UNIAO DOS DENTISTAS DA GRANDE NATAL (401277)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,89";"   1,91";"   1,92";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"TOPDONTO OPERADORA DE PLANO ODONTOLÓGICO LTDA (417114)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTSY ODONTOLOGIA S/S LTDA. (414425)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (357022)";"Médico Hospitalar";"Médio";"233";"190";"0,00";"   0,48";"   0,48";"   0,48";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED PIRAQUEAÇU COOPERATIVA DE TRABALHO MÉDICO (385751)";"Médico Hospitalar";"Médio";"233";"196";"0,00";"   0,46";"   0,46";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MASSA FALIDA DE SOSAUDE ASSISTÊNCIA MÉDICO HOSPITALAR LTDA (410926)";"Médico Hospitalar";"Pequeno";"1";"";" 423,36";"";"";"";"";"  33,24";"  46,15";" 158,12";" 263,61";" 248,37";" 251,79";" 423,36";"201501";"22/01/2016 16:40:10"
"ARCELORMITTAL BRASIL S/A (416070)";"Médico Hospitalar";"Pequeno";"184";"185";"0,00";"   0,60";"   0,60";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PLAMEB - PLANO DE ASSISTENCIA ODONTOLOGICA LTDA (411892)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SAÚDE É TUDO ASSISTÊNCIA ODONTOLÓGICA LTDA. (415171)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PREVODOCTOR  ASSISTÊNCIA ODONTOLÓGICA LTDA. (412830)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"   8,12";"   8,07";"   8,03";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ORAL SAÚDE CLÍNICA ODONTOLÓGICA LTDA. (311693)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PLANO ODONTOLÓGICO DENTALVIDAS LTDA. (415936)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS S/S LTDA (327867)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"INTEGRAL SERVIÇOS ODONTOLÓGICOS LTDA. (359394)";"Odontológica";"Pequeno";"13";"9";"0,00";"   0,66";"   0,66";"   0,66";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DUQUE DE CAXIAS COOPERATIVA DE TRABALHO ODONTOLÓGICO LTDA. (382337)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO TAUBATÉ COOPERATIVA DE TRABALHO ODONTOLOGICO (319350)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"IDEAL ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA. (414921)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"VIP ASSISTENCIA ODONTOLOGICA LTDA. (405582)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE CACAPAVA COOPERATIVA ODONTOLOGICA (347302)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MAIS SAÚDE PLANO DE SAÚDE LTDA (415065)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO VITÓRIA - COOPERATIVA DE TRABALHO ODONTOLOGICO (308277)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIOPREV COOPERATIVA DE TRABALHO ODONTOLOGICO (407291)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE FEIRA DE SANTANA - COOPERATIVA DE TRABALHO ODONTOLÓGICO DE FEIRA DE SANTANA RESP LIMITADA (400556)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PLUS ODONTO WORLD ASSISTÊNCIA ODONTOLÓGICA LTDA (416088)";"Odontológica";"Pequeno";"13";"";"0,00";"";"";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"RIBERDENTE SERVIÇOS ODONTOLÓGICOS S/S LTDA (417149)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"J.E. ODONTOQUALITY S/S LTDA (418536)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA (333620)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"   1,00";"   1,01";"   1,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTALSHOW ASSISTÊNCIA ODONTOLÓGICA LTDA. (361038)";"Odontológica";"Pequeno";"13";"7";"0,00";"   0,49";"   0,49";"   0,50";"0,00";"0,00";"0,00";"0,00";"   0,49";"   0,51";"   0,51";"0,00";"201501";"22/01/2016 16:40:10"
"BIODENTE CLÍNICA ODONTOLÓGICA LTDA. (409758)";"Odontológica";"Pequeno";"13";"";"0,00";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTO CORPUS S/S LTDA. (405973)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE RECIFE - COOPERATIVA ODONTOLÓGICA (305740)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"FREE DENT PLANOS ODONTÓLOGICOS LTDA (405248)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTO SAÚDE SERVIÇOS DE ODONTOLOGIA LTDA. (414808)";"Odontológica";"Pequeno";"13";"";"0,00";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO PAULO AFONSO COOPERATIVA DE TRABALHO ODONTOLÓGICO LTDA. (402109)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO (407241)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE RORAIMA - COOPERATIVA DE TRABALHO ODONTOLÓGICO (418242)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODMED SERVIÇOS ODONTOLÓGICOS LTDA (408271)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"   3,33";"   3,33";"   3,33";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE LINS COOPERATIVA ODONTOLOGICA (344681)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE MONTE ALTO COOPERATIVA ODONTOLOGICA (336238)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTO HEALTH - ASSISTENCIA ODONTOLÓGICA LTDA. (378348)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTAL PREVIDÊNCIA ODONTOLÓGICA LTDA. (415383)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE ARACAJU COOP DE TRABALHO ODONTOLOGICO (349283)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE VOTUPORANGA COOPERATIVA ODONTOLOGICA (350630)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTO JARAGUÁ LTDA (312321)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"CLÍNICA ODONTOLÓGICA LUIZ LIMA LTDA (418510)";"Odontológica";"Pequeno";"13";"";"0,00";"";"";"";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL (353477)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PRUDENT PLANOS ODONTOLOGICOS S/S LTDA (416151)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ORION PLANOS E SERVIÇOS ODONTOLÓGICOS LTDA (416371)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE CRUZ ALTA- COOPERATIVA ODONTOLÓGICA LTDA (315770)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTOLOGYC SYSTEM CONVÊNIO ODONTOLOGICO LTDA (416461)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO COOPERATIVA TRABALHO ODONTOLOGICO DE PARA DE MINAS (323632)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO LEOPOLDINA - COOPERATIVA ODONTOLÓGICA (401919)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MULTI - BUCAL ODONTOLOGIA LTDA - EPP (351351)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MAC DENTAL SERVIÇOS ODONTOLOGICOS LTDA (413011)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO VALE DO SINOS COOPERATIVA ODONTOLÓGICA LTDA (406295)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"IDEAL SAÚDE PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA. (358240)";"Odontológica";"Pequeno";"13";"";"0,00";"";"";"";"   1,85";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"TOP DOCTOR'S ODONTOLOGIA LTDA (416193)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"BACCIN BONONI ODONTOLOGIA LTDA (417700)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"DENTAL PLAN - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA. ME (415804)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL. (342335)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE SALVADOR - COOPERATIVA DE TRABALHO ODONTOLÓGICO LTDA. (310107)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO PONTA GROSSA COOPERATIVA ODONTOLÓGICA (315818)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PREST ODONTO LTDA (384844)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ROPE ODONTOLOGIA ESPECIALIZADA S/S LTDA. (415821)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MARKI ASSISTÊNCIA ODONTOLÓGICA LTDA (407941)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,66";"   0,67";"   0,69";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA (365297)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SISDENTE - SISTEMA INTEGRADO DE SAÚDE DENTAL LTDA. (344095)";"Odontológica";"Pequeno";"13";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
