"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Fev/20";"Jan/20";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Competência";"Data de atualização"
"FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC (414689)";"Médico Hospitalar";"Pequeno";"181";"38";"0,00";"  11,85";"  11,75";"  11,65";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO (418129)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"G & M ASSESSORIA MEDICA EMPRESARIAL LTDA - EPP (409286)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"GAMA SAUDE LTDA. (407011)";"Médico Hospitalar";"Pequeno";"34";"31";"  11,63";"  13,96";"  16,27";"  11,14";"   8,56";"   4,04";"   3,91";"   1,89";"   3,72";"   7,42";"   9,23";"  18,43";"202002";"26/03/2020 09:14:21"
"GARANTIA DE SAÚDE LTDA (343064)";"Médico Hospitalar";"Médio";"6";"11";"  13,30";"  11,27";"  11,28";"  12,08";"  13,30";"  13,28";"  11,59";"  12,60";"  13,29";"  15,98";"  16,35";"  16,97";"202002";"26/03/2020 09:14:21"
"GEAP AUTOGESTÃO EM SAÚDE (323080)";"Médico Hospitalar";"Grande";"3";"2";"  14,11";"  15,48";"  15,73";"  15,34";"  14,68";"  12,68";"  10,64";"   8,54";"   6,56";"   6,13";"   5,94";"   5,67";"202002";"26/03/2020 09:14:21"
"GKN DO BRASIL LTDA (416819)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"GOOD LIFE SAUDE LTDA (305995)";"Médico Hospitalar";"Pequeno";"36";"30";"  10,11";"  14,07";"  19,09";"  26,42";"  25,00";"  20,06";"  21,29";"  17,95";"  23,58";"  18,91";"  21,73";"  18,53";"202002";"26/03/2020 09:14:21"
"GREEN LIFE PLUS PLANOS MÉDICOS LTDA - EPP (420204)";"Médico Hospitalar";"Pequeno";"8";"8";"  74,44";"  89,06";" 121,36";" 131,43";"  96,45";"  41,24";"  21,99";"  16,36";"  14,45";"  11,68";"  19,74";"  23,18";"202002";"26/03/2020 09:14:21"
"GREEN LINE SISTEMA DE SAÚDE S.A (325074)";"Médico Hospitalar";"Grande";"2";"3";"  15,39";"  14,57";"  14,33";"  15,34";"  15,43";"  14,46";"  10,90";"   8,65";"   7,14";"   6,63";"   6,46";"   6,16";"202002";"26/03/2020 09:14:21"
"GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA (309222)";"Médico Hospitalar";"Grande";"21";"21";"   5,54";"   5,44";"   5,84";"   6,26";"   7,01";"   7,06";"   6,88";"   6,93";"   6,41";"   6,03";"   4,91";"   4,69";"202002";"26/03/2020 09:14:21"
"GS PLANO GLOBAL DE SAÚDE LTDA (413160)";"Médico Hospitalar";"Pequeno";"108";"69";"   1,71";"   4,22";"   4,17";"   4,12";"   2,46";"   3,26";"   3,23";"   3,21";"   0,80";"   3,97";"   3,16";"   4,69";"202002";"26/03/2020 09:14:21"
"HALSA OPERADORA DE MEDICINA DE GRUPO LTDA (419834)";"Médico Hospitalar";"Pequeno";"11";"11";"  54,14";"  64,22";"  86,59";"  99,20";"  85,33";"  71,28";"  60,22";"  55,18";"  50,52";"  30,15";"  26,77";"  39,80";"202002";"26/03/2020 09:14:21"
"HAPVIDA ASSISTENCIA MEDICA LTDA (368253)";"Médico Hospitalar";"Grande";"39";"40";"   2,78";"   2,96";"   3,08";"   3,58";"   3,98";"   4,04";"   3,52";"   3,14";"   2,97";"   3,13";"   3,29";"   3,26";"202002";"26/03/2020 09:14:21"
"H.B. SAÚDE S/A. (350249)";"Médico Hospitalar";"Grande";"64";"70";"   1,08";"   0,62";"   0,82";"   0,87";"   1,40";"   1,53";"   1,60";"   1,47";"   1,69";"   1,46";"   1,70";"   1,85";"202002";"26/03/2020 09:14:21"
"HBC SAÚDE LTDA. (414352)";"Médico Hospitalar";"Médio";"49";"55";"   4,17";"   4,54";"   4,22";"   7,43";"   6,00";"   6,70";"   5,66";"   5,00";"   4,66";"   3,61";"   4,71";"   3,27";"202002";"26/03/2020 09:14:21"
"HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA (416398)";"Médico Hospitalar";"Médio";"117";"152";"   1,31";"   0,99";"   1,32";"   1,33";"   1,35";"   1,03";"   0,69";"   0,69";"   1,04";"   0,70";"   1,07";"   1,85";"202002";"26/03/2020 09:14:21"
"HOSPITAL BOM SAMARITANO S/S LTDA (419362)";"Médico Hospitalar";"Pequeno";"14";"19";"  31,55";"  27,83";"  57,85";"  68,90";"  78,25";"  57,94";"  40,53";"  46,78";"  38,68";"  45,23";"  35,56";"  37,22";"202002";"26/03/2020 09:14:21"
"HOSPITAL CÉSAR LEITE (314706)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO (420930)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"HOSPITAL DE CATAGUASES (400319)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"HOSPITAL DE PRONTOCLINICA LTDA. (341941)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"HOSPITAL MARECHAL CÂNDIDO RONDON LTDA (392391)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"HOSPITAL MATER DEI SA  (421626)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"202002";"26/03/2020 09:14:21"
"HOSPITAL S.P. LTDA. (363189)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"HUMANA ASSISTENCIA MEDICA LTDA (357511)";"Médico Hospitalar";"Médio";"194";"159";"   0,37";"   0,89";"   1,18";"   1,61";"   1,09";"   0,96";"   0,83";"   0,98";"   0,85";"   0,72";"   0,58";"   0,58";"202002";"26/03/2020 09:14:21"
"IDEAL SAÚDE ASSISTÊNCIA MÉDICA AMBULATORIAL LTDA (420751)";"Médico Hospitalar";"Pequeno";"20";"29";"  16,38";"  14,55";"   3,56";"   4,63";"   8,03";"   9,89";"   8,48";"   7,13";"   7,12";"   7,13";"   8,23";"  10,46";"202002";"26/03/2020 09:14:21"
"INDUSTRIAS NUCLEARES DO BRASIL S/A - INB (329282)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM (419427)";"Médico Hospitalar";"Médio";"206";"209";"   0,27";"   0,27";"0,00";"0,00";"   0,27";"   0,26";"   0,26";"   0,26";"   0,26";"   0,52";"   0,51";"   0,77";"202002";"26/03/2020 09:14:21"
"INSTITUTO CURITIBA DE SAÚDE (419010)";"Médico Hospitalar";"Médio";"119";"121";"   1,31";"   1,44";"   1,83";"   1,70";"   1,83";"   1,57";"   1,31";"   1,18";"   0,92";"   1,46";"   1,46";"   1,21";"202002";"26/03/2020 09:14:21"
"INTERCLÍNICAS DO BRASIL ASSISTENCIA MÉDICA LTDA (420841)";"Médico Hospitalar";"Pequeno";"12";"27";"  31,98";"  15,98";"  31,80";"  47,97";"  97,77";" 185,50";" 253,24";" 198,68";" 114,94";"  51,19";"  53,80";"  56,64";"202002";"26/03/2020 09:14:21"
"INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA (312282)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,19";"   1,18";"   1,18";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA (319422)";"Médico Hospitalar";"Pequeno";"181";"189";"0,00";"   0,57";"   1,15";"   2,87";"   3,44";"   2,87";"   1,15";"0,00";"   0,58";"   0,58";"   1,74";"   1,17";"202002";"26/03/2020 09:14:21"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MOCOCA (308005)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,01";"   3,00";"   3,00";"0,00";"202002";"26/03/2020 09:14:21"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS (333875)";"Médico Hospitalar";"Pequeno";"142";"158";"   1,05";"   1,06";"   2,11";"   1,06";"   2,12";"   1,06";"   1,07";"   1,07";"   3,23";"   4,32";"   3,24";"   2,17";"202002";"26/03/2020 09:14:21"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA (354562)";"Médico Hospitalar";"Médio";"209";"186";"   0,24";"   0,48";"   0,49";"   0,49";"   1,21";"   0,95";"   0,94";"0,00";"0,00";"   0,23";"   0,70";"   0,94";"202002";"26/03/2020 09:14:21"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO (347655)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"   0,30";"   0,59";"   0,59";"   0,30";"0,00";"   0,30";"   0,30";"   0,30";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI (321320)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   1,28";"   1,27";"   1,27";"0,00";"0,00";"0,00";"   1,27";"   1,27";"202002";"26/03/2020 09:14:21"
"IRMANDADE DE MISERICORDIA DE PORTO FERREIRA (329355)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,77";"   0,77";"   0,77";"0,00";"202002";"26/03/2020 09:14:21"
"IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO (333808)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   0,80";"   1,60";"   1,60";"   1,61";"   0,80";"   0,81";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS (363685)";"Médico Hospitalar";"Pequeno";"56";"59";"   5,45";"   5,45";"   5,45";"   1,81";"0,00";"0,00";"0,00";"0,00";"   1,70";"   1,68";"   4,94";"   6,00";"202002";"26/03/2020 09:14:21"
"IRMANDADE SANTA CASA DE MISERICÓRDIA DE ITAPEVA (345741)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,00";"   3,01";"   3,03";"0,00";"202002";"26/03/2020 09:14:21"
"IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ (336831)";"Médico Hospitalar";"Médio";"140";"125";"   1,10";"   1,37";"   1,09";"   1,91";"   1,92";"   1,66";"   1,39";"   1,12";"   0,84";"   0,57";"   0,86";"   1,15";"202002";"26/03/2020 09:14:21"
"ITAIPU BINACIONAL (366234)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   1,34";"   1,29";"   1,20";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ITAUSEG SAÚDE S.A. (000884)";"Médico Hospitalar";"Pequeno";"28";"35";"  13,60";"  12,50";"  11,41";"  13,43";"  12,33";"  10,22";"   7,11";"   7,08";"  10,05";"  16,00";"  15,90";"  14,84";"202002";"26/03/2020 09:14:21"
"JARDIM AMÉRICA SAÚDE LTDA. (414450)";"Médico Hospitalar";"Grande";"1";"1";"  18,11";"  16,22";"  13,39";"  13,61";"  11,00";"   7,64";"   6,67";"   6,48";"   7,59";"   8,08";"   8,11";"   7,97";"202002";"26/03/2020 09:14:21"
"LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA. (364592)";"Médico Hospitalar";"Pequeno";"23";"25";"  14,63";"  16,15";"  28,21";"  27,34";"  24,51";"  12,23";"  12,38";"  12,55";"  25,80";"  45,98";"  47,25";"  21,60";"202002";"26/03/2020 09:14:21"
"LÍDER COMÉRCIO E INDÚSTRIA LTDA. (412490)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"   1,37";"   1,38";"   1,37";"0,00";"0,00";"0,00";"   1,35";"   1,35";"   1,36";"202002";"26/03/2020 09:14:21"
"LIFE EMPRESARIAL SAÚDE LTDA. (414492)";"Médico Hospitalar";"Médio";"159";"143";"   0,75";"   1,13";"   1,32";"   1,32";"   0,94";"   0,38";"   0,56";"   0,56";"   0,61";"   0,20";"   0,20";"   0,53";"202002";"26/03/2020 09:14:21"
"LIFEDAY PLANOS DE SAÚDE LTDA. (309699)";"Médico Hospitalar";"Médio";"13";"12";"   9,84";"  11,15";"  10,97";"  10,54";"   8,72";"   8,71";"   8,34";"   5,99";"   1,49";"   1,71";"   2,11";"   3,57";"202002";"26/03/2020 09:14:21"
"LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A (379280)";"Médico Hospitalar";"Médio";"15";"13";"   8,93";"  10,39";"  14,01";"  14,15";"  11,26";"  10,54";"  11,88";"  14,40";"  15,89";"  18,70";"  19,57";"  12,76";"202002";"26/03/2020 09:14:21"
"MAIS SAÚDE PLANO DE SAÚDE LTDA (415065)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";" 136,05";" 136,05";" 204,08";"  68,03";"  68,03";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"MAIS SAUDE S/A (419516)";"Médico Hospitalar";"Pequeno";"52";"42";"   6,22";"  10,01";"  10,50";"   7,49";"   3,94";"   6,36";"   8,85";"   4,70";"  12,22";"  12,93";"  16,84";"   6,40";"202002";"26/03/2020 09:14:21"
"MAPFRE SAÚDE LTDA (418951)";"Médico Hospitalar";"Pequeno";"181";"194";"0,00";"   0,42";"   0,36";"   0,31";"0,00";"   0,31";"   0,32";"   0,30";"   1,17";"   1,13";"   1,64";"   1,05";"202002";"26/03/2020 09:14:21"
"MATÃO CLINICAS & AMHMA SAÚDE LTDA (416495)";"Médico Hospitalar";"Pequeno";"163";"175";"   0,71";"   0,71";"   0,71";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"MEDGOLD ASSISTENCIA MEDICA LTDA - ME (419753)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   4,72";"   4,62";"  13,51";"   8,74";"  12,75";"   8,29";"  16,19";"  15,89";"  11,72";"   3,86";"202002";"26/03/2020 09:14:21"
"MEDHEALTH PLANOS DE SAÚDE LTDA (421367)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"";"202002";"26/03/2020 09:14:21"
"MEDICAL MEDICINA COOPERATIVA ASSISTENCIAL DE LIMEIRA (360767)";"Médico Hospitalar";"Médio";"192";"183";"   0,38";"   0,50";"   0,51";"   0,38";"   0,38";"   0,64";"   0,64";"   0,64";"   0,25";"   0,25";"   0,38";"   0,38";"202002";"26/03/2020 09:14:21"
"MEDIPLAN ASSISTENCIAL LTDA (368849)";"Médico Hospitalar";"Médio";"46";"50";"   4,56";"   4,80";"   3,72";"   4,87";"   5,23";"   5,33";"   4,52";"   3,21";"   2,18";"   1,79";"   1,66";"   2,42";"202002";"26/03/2020 09:14:21"
"MEDISANITAS BRASIL ASSISTÊNCIA INTEGRAL À SAÚDE S/A. (348520)";"Médico Hospitalar";"Grande";"23";"20";"   4,97";"   5,80";"   6,42";"   6,58";"   6,89";"   6,69";"   6,92";"   6,87";"   6,66";"   6,09";"   5,58";"   5,24";"202002";"26/03/2020 09:14:21"
"MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A. (333689)";"Médico Hospitalar";"Grande";"47";"51";"   2,14";"   2,19";"   3,01";"   3,30";"   4,07";"   3,74";"   3,56";"   3,13";"   3,18";"   3,11";"   3,06";"   3,12";"202002";"26/03/2020 09:14:21"
"MEDPLAN ASSISTÊNCIA MEDICA LTDA. (337510)";"Médico Hospitalar";"Médio";"108";"117";"   1,56";"   1,55";"   1,32";"   1,65";"   1,55";"   1,22";"   1,11";"   1,12";"   1,45";"   1,23";"   1,33";"   1,10";"202002";"26/03/2020 09:14:21"
"MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA. (328537)";"Médico Hospitalar";"Médio";"78";"75";"   2,38";"   2,86";"   4,06";"   6,94";"   6,73";"   4,83";"   2,43";"   3,90";"   4,15";"   4,42";"   2,71";"   3,95";"202002";"26/03/2020 09:14:21"
"MEMORIAL SAUDE LTDA (373010)";"Médico Hospitalar";"Grande";"44";"56";"   2,41";"   1,73";"   1,96";"   2,19";"   2,65";"   2,28";"   1,92";"   2,01";"   2,18";"   2,13";"   1,83";"   1,70";"202002";"26/03/2020 09:14:21"
"METRUS INSTITUTO DE SEGURIDADE SOCIAL (380661)";"Médico Hospitalar";"Médio";"8";"9";"  12,47";"  11,98";"   7,60";"   3,60";"   0,72";"   0,72";"   0,71";"   2,13";"   2,12";"   2,47";"   1,05";"   2,10";"202002";"26/03/2020 09:14:21"
"MH VIDA - OPERADORA DE PLANOS DE SAÚDE - EIRELI (412015)";"Médico Hospitalar";"Pequeno";"57";"61";"   5,12";"   5,10";"   5,12";"   2,58";"   5,21";"  10,49";"  10,58";"   5,30";"0,00";"   2,62";"   2,60";"   7,69";"202002";"26/03/2020 09:14:21"
"MINERAÇÃO CARAÍBA S/A (416703)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"MULTI SAÚDE ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (402851)";"Médico Hospitalar";"Médio";"70";"64";"   2,75";"   3,88";"   5,00";"   5,38";"   5,78";"   3,87";"   2,73";"   2,35";"   3,52";"   4,44";"   4,94";"   4,74";"202002";"26/03/2020 09:14:21"
"MULTICLINICA SERVICOS DE SAUDE LTDA (354554)";"Médico Hospitalar";"Pequeno";"159";"127";"   0,84";"   1,66";"   0,83";"   0,83";"   0,83";"   0,83";"   0,84";"   1,66";"   1,66";"   1,64";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO (418650)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"NOSAMED ASSISTÊNCIA MÉDICA LTDA. (305928)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA. (372609)";"Médico Hospitalar";"Médio";"54";"63";"   3,87";"   3,89";"   3,70";"   3,51";"   3,08";"   3,55";"   2,91";"   2,94";"   2,29";"   1,39";"   1,40";"   1,18";"202002";"26/03/2020 09:14:21"
"NOTRE DAME INTERMÉDICA SAÚDE S.A. (359017)";"Médico Hospitalar";"Grande";"25";"29";"   4,45";"   4,42";"   4,57";"   4,96";"   5,23";"   4,95";"   4,43";"   4,17";"   4,11";"   4,21";"   4,22";"   4,10";"202002";"26/03/2020 09:14:21"
"NUCLEBRÁS EQUIPAMENTOS PESADOS S/A - NUCLEP (352888)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   4,87";"   9,75";"   9,75";"   4,87";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S/S LTDA (416738)";"Médico Hospitalar";"Pequeno";"177";"128";"   0,54";"   1,59";"   1,05";"   1,05";"0,00";"0,00";"   1,08";"   1,10";"   1,11";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"OMINT SERVIÇOS DE SAÚDE LTDA. (359661)";"Médico Hospitalar";"Grande";"49";"32";"   1,99";"   4,06";"   3,87";"   3,76";"   2,08";"   2,70";"   2,74";"   3,64";"   3,24";"   3,45";"   3,48";"   3,68";"202002";"26/03/2020 09:14:21"
"ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA (407534)";"Médico Hospitalar";"Pequeno";"66";"72";"   4,01";"   3,81";"   4,80";"   4,56";"   3,37";"   1,10";"0,00";"0,00";"0,00";"   1,07";"   1,05";"   1,05";"202002";"26/03/2020 09:14:21"
"OPERADORA DE PLANOS DE SAÚDE SERRA IMPERIAL LTDA. (409235)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"OPERADORA DE PLANOS PRIVADOS DE ASSISTENCIA A SAUDE CONSAUDE S/S LTDA (350729)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   0,56";"   1,14";"   1,16";"   0,59";"0,00";"0,00";"   0,60";"   1,20";"   1,20";"   0,60";"202002";"26/03/2020 09:14:21"
"OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA (419699)";"Médico Hospitalar";"Pequeno";"181";"129";"0,00";"   1,59";"   1,63";"   3,37";"   1,74";"   5,42";"   7,48";"   7,79";"   6,15";"   4,33";"   4,56";"   2,36";"202002";"26/03/2020 09:14:21"
"OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA. (318477)";"Médico Hospitalar";"Pequeno";"49";"43";"   6,77";"   9,75";"  12,07";"  12,17";"  13,19";"   8,51";"   7,57";"   7,52";"  12,08";"  16,58";"  16,51";"  16,44";"202002";"26/03/2020 09:14:21"
"OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA (354511)";"Médico Hospitalar";"Pequeno";"45";"64";"   8,06";"   4,69";"   5,33";"  11,26";"  12,51";"  17,07";"  16,38";"  22,24";"  18,88";"  14,21";"   7,05";"   7,01";"202002";"26/03/2020 09:14:21"
"OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA (418226)";"Médico Hospitalar";"Pequeno";"60";"65";"   4,67";"   4,55";"   4,36";"   8,41";"  12,28";"  12,12";"   3,99";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ORALCLASS ASSISTENCIA MÉDICA E ODONTOLOGICA LTDA. (402478)";"Médico Hospitalar";"Pequeno";"15";"16";"  30,63";"  36,31";"  33,34";"  26,69";"  23,62";"  36,86";"  44,99";"  68,43";"  67,30";"  72,20";"  50,80";"  40,68";"202002";"26/03/2020 09:14:21"
"PAME - ASSOCIAÇÃO DE ASSISTÊNCIA PLENA EM SAÚDE (342408)";"Médico Hospitalar";"Pequeno";"1";"2";" 278,16";" 213,62";" 229,28";" 149,62";"  98,05";"  34,60";"  50,58";"  52,11";"  71,76";"  68,83";"  66,49";"  70,61";"202002";"26/03/2020 09:14:21"
"PARANA ASSISTENCIA MEDICA LTDA (315265)";"Médico Hospitalar";"Médio";"52";"62";"   3,93";"   3,95";"   3,97";"   2,48";"   2,97";"   2,94";"   2,91";"   0,97";"   2,88";"   3,35";"   4,74";"   3,29";"202002";"26/03/2020 09:14:21"
"PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A (350141)";"Médico Hospitalar";"Médio";"94";"95";"   1,86";"   2,07";"   2,30";"   2,53";"   2,88";"   2,66";"   2,53";"   1,83";"   2,06";"   2,32";"   2,84";"   2,53";"202002";"26/03/2020 09:14:21"
"PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE (331988)";"Médico Hospitalar";"Médio";"36";"43";"   5,08";"   5,29";"   5,49";"   5,27";"   5,44";"   4,81";"   4,41";"   3,80";"   4,00";"   3,39";"   3,98";"   3,97";"202002";"26/03/2020 09:14:21"
"PERSONAL CARE OPERADORA DE SAÚDE LTDA. (421707)";"Médico Hospitalar";"Pequeno";"181";"";"0,00";"";"";"";"";"";"";"";"";"";"";"";"202002";"26/03/2020 09:14:21"
"PETROBRAS DISTRIBUIDORA S.A. (354571)";"Médico Hospitalar";"Pequeno";"54";"71";"   5,64";"   3,94";"   2,81";"   2,80";"   3,91";"   4,45";"   4,45";"   2,22";"   1,11";"   1,66";"   1,65";"   3,30";"202002";"26/03/2020 09:14:21"
"PETRÓLEO BRASILEIRO S.A.-PETROBRAS (366871)";"Médico Hospitalar";"Grande";"19";"22";"   5,78";"   5,36";"   4,07";"   4,37";"   5,23";"   4,74";"   4,84";"   4,00";"   4,30";"   3,90";"   4,62";"   5,19";"202002";"26/03/2020 09:14:21"
"PLADISA PLANOS DE SAÚDE LTDA (419486)";"Médico Hospitalar";"Pequeno";"67";"54";"   3,95";"   6,71";"   7,30";"   7,12";"   2,33";"   1,29";"   1,40";"   1,46";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"PLAMED PLANO DE ASSISTENCIA MEDICA LTDA (343463)";"Médico Hospitalar";"Médio";"30";"24";"   6,10";"   7,68";"   8,93";"   9,91";"   9,54";"   7,93";"   6,04";"   8,91";"   8,58";"   8,57";"   6,41";"   5,18";"202002";"26/03/2020 09:14:21"
"PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA (413551)";"Médico Hospitalar";"Pequeno";"72";"78";"   3,45";"   3,44";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"PLAMER PLANO MEDICO RESENDE LTDA (324299)";"Médico Hospitalar";"Pequeno";"160";"172";"   0,81";"   0,80";"   0,80";"   1,60";"   2,40";"   1,60";"   0,80";"   1,57";"   1,53";"   1,51";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
